Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Конопленко,Юхим,Владиславович,Чоловіча,23-03-1988,Етнограф,хутір Прип'ять,"шосе Героїв Небесної Сотні, буд. 914 кв. 5, Мерефа, 36620",+380 47 618-07-34,illiarudko@example.com
Кабалюк,Святослав,Ілліч,Чоловіча,09-07-1979,Журналіст,селище Жовті Води,"проспект Шевченка, буд. 96, Краматорськ, 44246",+380 07 351-11-32,rchornovil@example.com
Сірко,Марина,Єгорівна,Жіноча,10-03-2001,Письменник,село Таврійськ,"площа Пересипська 2-га, буд. 13, Барвінкове, 41903",+380 01 883-97-22,gzhytskyiiryna@example.org
Корсун,Опанас,Артемович,Чоловіча,16-09-1969,Реабілітолог,хутір Середина-Буда,"площа Волинський, буд. 77, Рахів, 13370",+380 47 759-14-24,havryletszakhar@example.net
Їжакевич,Ігор,Веніамінович,Чоловіча,07-10-1945,Графік,місто Борщів,"сквер Осипова, буд. 840 кв. 701, Ужгород, 63587",520-95-13,andrusenkovenedykt@example.net
Євтушок,Марія,Лук’янівна,Жіноча,19-05-1954,Мовознавець,хутір Вилкове,"проспект Бузкова, буд. 088, Златопіль, 16107",+380 83 400 65 32,nstelmakh@example.org
Влох,Григорій,Романович,Чоловіча,19-06-1990,Кушнір,село Самбір,"сквер Ярмарковий, буд. 8 кв. 440, Перечин, 62728",083 56 03,pavlychenkorozaliia@example.org
Гаєвська,Олесь,Михайлович,Чоловіча,30-06-1963,Гірничий інженер,селище Златопіль,"вулиця Польський узвіз, буд. 887 кв. 36, Нововолинськ, 58436",+380 (08) 566-09-81,davydenkosviatoslav@example.net
Ященко,Панас,Георгійович,Чоловіча,21-08-1990,Геолог,місто Волочиськ,"шосе Стельмаха, буд. 8, Васильків, 88370",655-07-74,ctsisyk@example.org
Аронець,Альберт,Ярославович,Чоловіча,22-06-1995,Дантист,селище Люботин,"провулок Кавказька, буд. 379 кв. 1, Горохів, 26025",+380 (66) 390-39-48,aromanets@example.com
Аверченко,Аніта,Віталіївна,Жіноча,01-02-2001,Музикант,місто Нетішин,"набережна Шовкуненка, буд. 9 кв. 58, Авдіївка, 16670",+380 (80) 400-69-60,borys66@example.com
Товстуха,Хома,Олексійович,Чоловіча,06-03-1940,Композитор,хутір Отаманівка,"проспект Савицький, буд. 45, Середина-Буда, 77424",900 41 51,iaroslavaarkhypenko@example.org
Демʼянчук,Богуслав,Денисович,Чоловіча,06-09-1990,Круп'є,село Буча,"вулиця Аграрна, буд. 8 кв. 2, Кам'янське, 09577",049 218-78-02,parmenpavlenko@example.com
Бевз,Гордій,Іванович,Чоловіча,05-11-1942,Гінеколог,хутір Підгородне,"провулок Аркаса Миколи, буд. 662 кв. 0, Бровари, 12469",046-47-29,virasavenko@example.net
Ґоляш,Марина,Богданівна,Жіноча,31-08-1939,Письменник,місто Харцизьк,"парк Чорноморського козацтва, буд. 9, Дубно, 02007",464 32 46,androshchukzakhar@example.com
Бабʼяк,Єлисей,Ілліч,Чоловіча,02-02-1964,Нотаріус,хутір Родинське,"сквер 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 57, Ірпінь, 15116",+380 29 297-36-34,iaroslava45@example.com
Чуйко,Михайло,Рустамович,Чоловіча,24-03-1948,Зоолог,село Гайворон,"узвіз Волова, буд. 54, Нове Давидково, 78597",022 041 20 80,hkozachenko@example.org
Андріїшина,Валентина,Захарівна,Жіноча,27-10-1947,Антрополог,селище Кременець,"набережна Олександрійський, буд. 60 кв. 948, Новомиргород, 67193",040 874 04 73,martyn26@example.com
Бебешко,Едуард,Маркелович,Чоловіча,12-11-1974,Будник,місто Часів Яр,"провулок Волтона, буд. 832 кв. 15, Енергодар, 09463",062 78 78,kostiantynsamoilenko@example.net
Яременко,Пилип,Михайлович,Чоловіча,19-11-1939,Музикант,село Гребінка,"площа Академіка Богатського, буд. 0, Христинівка, 94104",+380 83 772-16-66,vlasenkozakhar@example.com
Андрієвич,Антон,Тарасович,Чоловіча,11-12-1984,Єгер,місто Мала Виска,"вулиця Медовий, буд. 24 кв. 905, Виноградів, 38875",+380 (34) 289-82-26,havrylo65@example.com
Лукаш,Олесь,Михайлович,Чоловіча,12-11-1963,Юрист,місто Новий Калинів,"провулок Дерибасівська, буд. 97, Бережани, 63737",028 117 46 47,ihordurdynets@example.org
Бездітко,Давид,Олегович,Чоловіча,26-01-1942,Лікар,селище Українка,"узвіз Виноградний тупик, буд. 2 кв. 1, Надвірна, 42948",011 258 13 12,romanchukanzhela@example.org
Влох,Веніямин,Артемович,Чоловіча,20-10-1993,Літературознавець,хутір Черкаси,"вулиця Центральний аеропорт, буд. 3, Липовець, 05168",+380 38 638 96 04,viacheslav10@example.com
Чумак,Варфоломій,Тарасович,Чоловіча,28-12-1987,Різноробочий,селище Бобровиця,"шосе Пересипський міст, буд. 67 кв. 0, Інкерман, 32641",+380 88 272 03 44,ivanychukedyta@example.com
Вахній,Амалія,Віталіївна,Жіноча,06-01-1953,Археолог,місто Залізне,"проспект Жоліо-Кюрі, буд. 4, Соснівка, 62258",291 76 55,hryhoriilysenko@example.org
Радченко,Дан,Олексійович,Чоловіча,31-05-1954,Кіноактор,хутір Новомиргород,"вулиця Ризька, буд. 794 кв. 68, Ворожба, 74705",+380 28 091 96 57,ievtushokpetro@example.net
Бандурка,Олександр,Єфремович,Чоловіча,29-05-1996,Кухар,хутір Кальміуське,"набережна Лінія 24-та, буд. 6, Зоринськ, 61998",+380 77 023-25-41,lriabovil@example.com
Єфименко,Амалія,Матвіївна,Жіноча,22-11-1972,Правник,хутір Глухів,"провулок Деревообробний 3-й, буд. 05 кв. 782, Городенка, 22411",064 865 61 51,ostapchukvarfolomii@example.net
Дзюба,Ігнат,Веніамінович,Чоловіча,19-09-1986,Фізик,хутір Горохів,"вулиця Миколи Пильчикова, буд. 72 кв. 773, Ананьїв, 35639",992-52-45,shchorsarkadii@example.com
Демʼянчук,Адам,Антонович,Чоловіча,31-05-1978,Підприємець,хутір Ялта,"провулок Кінна, буд. 217 кв. 7, Калинівка, 53306",+380 57 561-52-61,cvashchenko-zakharchenko@example.org
Арсенич,Кирило,Борисович,Чоловіча,04-01-1942,Редактор,хутір Охтирка,"площа Пшенична, буд. 358 кв. 142, Самбір, 09437",134 89 01,fedir50@example.com
Артимишина,Феофан,Святославович,Чоловіча,07-01-1988,Патологоанатом,селище Добропілля,"вулиця Миколи Плигуна, буд. 429, Богодухів, 94475",+380 66 655-49-24,adam17@example.org
Бакуменко,Леон,Денисович,Чоловіча,01-11-1947,Мистецтвознавець,село Лубни,"провулок Амбулаторний, буд. 7, Старий Крим, 48624",+380 (08) 378-32-26,feofandanchenko@example.org
Єрмоленко,Розалія,Аркадіївна,Жіноча,16-06-1971,Ріелтор,селище Ворожба,"провулок Вірського, буд. 192, Тернівка, 19024",+380 57 921 51 32,anastasiia49@example.net
Сомко,Стефан,Олександрович,Чоловіча,19-07-1987,Кухар,село Таврійськ,"площа Цегельнозаводська, буд. 0 кв. 8, Рава-Руська, 32895",068 125-35-44,ievtushokdaryna@example.net
Матвієнко,Марко,Ілліч,Чоловіча,05-12-1946,Кінокритик,хутір Вільнянськ,"набережна Чигиринська, буд. 238, Подільськ, 59286",075 949-83-21,rubetsvitalii@example.com
Вернидуб,Панас,Станіславович,Чоловіча,25-02-1985,Складальник,місто Інкерман,"вулиця Угорська, буд. 3, Дергачі, 96754",+380 (47) 333-37-26,ppelekh@example.org
Гречаник,Святослав,Арсенович,Чоловіча,18-03-1973,Складальник,місто Долинська,"набережна Олешківська, буд. 373 кв. 508, Старий Самбір, 21901",+380 32 539 32 91,hvysochan@example.org
Конопля,Дмитро,Лук’янович,Чоловіча,29-07-1965,Актор,хутір Берестечко,"сквер Пересипська 4-та, буд. 37, Бровари, 87657",779-87-80,mariia91@example.net
Шовкопляс,Спас,Омелянович,Чоловіча,15-12-1943,Клоун,село Лубни,"сквер Романтичний, буд. 5 кв. 2, Самар, 37454",884 64 21,nartym@example.com
Баран,Ігнат,Святославович,Чоловіча,07-05-2007,Редактор,селище Харків,"шосе Йозефа Прибіка, буд. 639 кв. 3, Кременчук, 85729",261 31 32,nfastenko@example.org
Бакуменко,Пармен,Петрович,Чоловіча,21-04-1960,Паралегал,селище Ковель,"провулок Володі Дубініна, буд. 694, Старий Самбір, 20152",+380 73 914 26 57,halynatereshchuk@example.net
Демʼяненко,Любов,Веніамінівна,Жіноча,11-07-1977,Дизайнер,селище Хуст,"провулок Степний 2-й, буд. 737 кв. 323, Путивль, 91709",+380 17 693 04 64,iukhym12@example.com
Таран,Варвара,Денисівна,Жіноча,24-11-1990,Фармацевт,місто Миколаївка,"набережна Училищна, буд. 2 кв. 2, Бахмач, 58602",+380 65 575-82-27,nataliia43@example.net
Конопля,Аліна,Григорівна,Жіноча,03-01-1968,Головний меркшейдер,місто Стебник,"узвіз Шовкуненка, буд. 7 кв. 223, Кам'янець-Подільський, 98387",067 25 75,czasenko@example.net
Малик,Світлана,Костянтинівна,Жіноча,20-05-2002,Журналіст,місто Алупка,"узвіз Хотинський, буд. 15 кв. 44, Часів Яр, 25425",+380 (72) 214-38-96,demianchukherman@example.org
Алексеєнко,Володимира,Ярославівна,Жіноча,17-10-1963,Електрослюсар,село Брянка,"площа Восьмого березня 2-й, буд. 61 кв. 167, Новгород-Сіверський, 28035",+380 78 036-11-46,zlatoslava72@example.com
Кабаненко,Маруся,Петрівна,Жіноча,18-02-1952,Промисловець,селище Сарни,"сквер Горизонтальна, буд. 2 кв. 8, Малин, 48897",132-17-06,lestymchenko@example.net
Власенко,Христина,Тарасівна,Жіноча,16-11-1960,Гінеколог,місто Приморськ,"провулок Житомирський 3-й, буд. 4, Кропивницький, 37235",+380 50 032-28-12,iukhym17@example.com
Шевченко,Вікторія,Омелянівна,Жіноча,01-04-1961,Мінералог,село Зборів,"сквер Транспортна, буд. 46 кв. 08, Синельникове, 71156",296-51-92,svitlanafomenko@example.net
Зінкевич,Лілія,Назарівна,Жіноча,13-05-1942,Перекладач,село Сокологірськ,"провулок Одарія, буд. 629 кв. 79, Луганськ, 90303",+380 71 560-78-86,adasachenko@example.net
Черінько,Віталій,Юрійович,Чоловіча,28-09-2006,Епідеміолог,хутір Каховка,"шосе Лігінська, буд. 6 кв. 566, Шостка, 25274",+380 93 185-71-16,ppoltavets@example.net
Гаврюшенко,Орхип,Леонідович,Чоловіча,31-05-1943,Промисловець,місто Ромни,"набережна 14-та ст. Великого Фонтану пляж, буд. 6, Білопілля, 17962",+380 (55) 635-97-67,ezaichenko@example.com
Данько,Любов,Сергіївна,Жіноча,23-05-1950,Дантист,село Скалат,"узвіз Чехівського, буд. 020 кв. 11, Старий Самбір, 83138",376 61 66,sviatoslavsych@example.net
Ажажа,Лукʼян,Олегович,Чоловіча,03-09-1972,Прокурор,хутір Шпола,"парк Дальня, буд. 3 кв. 4, Новояворівськ, 96531",+380 (30) 946-49-92,azartsarenko@example.net
Зайченко,Арсен,Петрович,Чоловіча,19-08-1957,Кінорежисер,селище Перещепине,"шосе Одарія, буд. 637, Великі Мости, 08572",023 631-10-55,mariia56@example.net
Безбородько,Христина,Павлівна,Жіноча,07-09-1967,Підприємець,місто Марганець,"провулок Пересипська 9-та, буд. 618 кв. 5, Марганець, 31008",+380 66 302-14-36,ustymtymchenko@example.org
Онищенко,Василь,Володимирович,Чоловіча,20-04-1944,Хореограф,село Канів,"проспект Обліпихова, буд. 802 кв. 911, Кам'янка-Дніпровська, 83919",+380 84 720-33-82,klymentmatviienko@example.net
Чабан,Алевтин,Юрійович,Чоловіча,03-07-1976,Реабілітолог,село Вашківці,"проспект Університетський, буд. 9, Українка, 72515",+380 06 778-78-28,androshchukdmytro@example.org
Базавлученко,Тарас,Антонович,Чоловіча,04-09-1998,Мікробіолог,селище Глиняни,"провулок Уманська, буд. 78, Липовець, 19492",832-95-68,dereviankoalbina@example.org
Захарченко,Віолетта,Григорівна,Жіноча,25-09-1992,Провізор,селище Берестечко,"провулок Казковий, буд. 191, Острог, 41339",+380 52 486-93-44,marusiaviter@example.net
Шахрай,Анжела,Євгенівна,Жіноча,13-10-2004,Бухгалтер,хутір Чернігів,"вулиця Аеропортівська, буд. 3 кв. 011, Угнів, 34564",+380 (32) 451-98-45,sshukhevych@example.net
Перебийніс,Ярослав,Юрійович,Чоловіча,28-09-1964,Бібліотекар,хутір Южноукраїнськ,"провулок Довга, буд. 6, Антрацит, 30377",+380 (28) 795-24-21,rozaliia96@example.net
Дурдинець,Тимофій,Валентинович,Чоловіча,16-05-1956,Драматург,село Каховка,"парк Біляївська, буд. 2, Тетіїв, 26338",006 320-55-33,shevchenkoeduard@example.org
Копитко,Володимир,Ігоревич,Чоловіча,13-07-1945,Випробувач,хутір Міусинськ,"проспект Мукачівський, буд. 880 кв. 4, Лебедин, 50358",688-53-56,nazar01@example.com
Вергун,Азар,Антонович,Чоловіча,02-01-1955,Мистецтвознавець,село Берестечко,"площа Ференца Ліста, буд. 8, Чернівці, 03283",583 42 83,lukian73@example.org
Слюсар,Аліна,Геннадіївна,Жіноча,23-02-1993,Етнограф,хутір Заводське,"проспект Ярморочна площа, буд. 525 кв. 9, Ніжин, 07340",+380 (58) 994-22-30,upoltavets@example.org
Дробʼязко,Костянтин,Веніамінович,Чоловіча,26-07-1986,Програміст,село Підгайці,"набережна Проїзний 3-й, буд. 0, Переяслав, 97183",+380 (52) 233-47-37,veniiamyn41@example.net
Алексеєнко,Лариса,Іллівна,Жіноча,17-02-1941,Живописець,місто Карлівка,"площа Савранський, буд. 04 кв. 837, Голубівка, 07220",756 17 71,mariiavakhnii@example.com
Гузь,Болеслав,Антонович,Чоловіча,11-04-1999,Слідчий,місто Бахчисарай,"узвіз Рівності 2-й, буд. 36, Жовква, 90632",061 247-73-45,stelmakhsolomon@example.com
Закусило,Анжела,Максимівна,Жіноча,03-11-2008,Мінералог,село Городенка,"сквер В’ячеслава Чорновола, буд. 33 кв. 124, Ясинувата, 51068",039 159 05 14,heorhii15@example.org
Данчук,Галина,Романівна,Жіноча,17-09-1977,Гицель,хутір Кропивницький,"площа Соляний 5-й, буд. 83, Долина, 41043",+380 51 563-78-46,viktoriia10@example.org
Сагаль,Юхим,Георгійович,Чоловіча,19-04-1967,Каскадер,хутір Чорнобиль,"парк Сегедська, буд. 9, Шумськ, 08959",+380 53 412-87-17,mykhailiukstepan@example.net
Заїка,Гліб,Ярославович,Чоловіча,09-05-2001,Нотаріус,місто Біляївка,"проспект Караїмська, буд. 12 кв. 314, Павлоград, 40258",+380 46 630-44-38,solomonkhorishko@example.com
Лавренко,Данило,Арсенович,Чоловіча,14-12-1980,Агроном,хутір Буринь,"площа Залізничний 3-й, буд. 07, Рожище, 49865",+380 (44) 372-42-72,terezaiermolenko@example.org
Вишняк,Одарка,Григорівна,Жіноча,05-12-2002,Модель,селище Тальне,"узвіз Івана Микитенка, буд. 23, Шептицький, 08697",+380 (30) 966-56-90,mykhailiukvolodymyr@example.com
Вдовиченко,Амвросій,Степанович,Чоловіча,18-10-2001,Сценарист,село Яворів,"провулок Басейний 4-й, буд. 8 кв. 101, Глиняни, 75836",+380 (07) 939-76-61,svystunzynovii@example.net
Зайченко,Роман,Захарович,Чоловіча,01-06-1967,Редактор,хутір Тиврів,"набережна Купріна, буд. 362, Конотоп, 35440",+380 38 147-95-89,shyloiaryna@example.org
Гречко,Пилип,Ярославович,Чоловіча,05-09-2007,Фрілансер,село Мирноград,"парк Парусна, буд. 95, Сновськ, 21183",124-80-50,varfolomii29@example.org
Штокало,Галина,Денисівна,Жіноча,19-07-1988,Намотувальник,селище Старокостянтинів,"провулок Купріна, буд. 91, Павлоград, 07006",285-20-06,lesirvanets@example.com
Чорновіл,Азар,Віталійович,Чоловіча,16-02-1973,Психолог,селище Новодружеськ,"шосе Підйомний, буд. 86, Полонне, 69708",+380 (04) 410-27-25,rakymenko@example.com
Деркач,Богданна,Єфремівна,Жіноча,08-01-1978,Фотограф,місто Рівне,"сквер Йосипа Тимченка, буд. 75 кв. 7, Алмазна, 73009",+380 44 094 74 03,phohol@example.com
Яремчук,Ліза,Тарасівна,Жіноча,15-09-1940,Бізнесмен,хутір Кадіївка,"парк Лінія 51-ша, буд. 12 кв. 0, Златопіль, 62600",990-58-83,makarvasylenko@example.net
Базилевський,Ігнат,Валентинович,Чоловіча,27-09-1947,Доцент,селище Почаїв,"сквер Хлібна гавань, буд. 80 кв. 34, Жовква, 53606",016 349-94-25,ftsiutsiura@example.org
Орлик,Назар,Степанович,Чоловіча,17-06-1973,Графік,місто Сарни,"проспект 19-та Лінія, буд. 008, Харцизьк, 99950",+380 92 388-47-49,shabliiadam@example.net
